offspring_rattleprob,parent_midpoint,squirrel_id,Year
0.666666667,0.52,4838,1999
1,0.666666667,4447,1999
1,0.733333333,4554,1999
1,0.4,6072,1999
1,0.933333333,5454,1999
0.5,0.476190476,4792,1999
1,0.823529412,4907,1999
1,0.5,4918,1999
1,1,5898,1999
1,0.823529412,5715,1999
0,0.214285714,5562,2000
0.230769231,0.111111111,5674,2000
0.5,0,4698,2000
0,0.285714286,4822,2000
0.526315789,0.142857143,4898,2000
0.538461538,0.444444444,5526,2000
0.142857143,0.142857143,4735,2000
0.153846154,0.142857143,6041,2000
0,0.5,4793,2000
0.833333333,0.142857143,4907,2000
0.3,0,4760,2000
0.0625,0.214285714,5258,2000
0,0.214285714,6071,2000
0.571428571,0,5898,2000
0.125,0.142857143,4682,2000
0.666666667,0.1,5627,2000
0.75,0.2,5252,2000
0.25,0.333333333,5995,2000
0.08,0.214285714,5454,2000
0.125,0.142857143,5715,2000
0.5,0.333333333,6069,2000
0.5,0.142857143,5152,2000
0.111111111,0,5748,2000
0.090909091,0,4879,2000
0.5,0.111111111,5807,2000
0.666666667,0.071428571,4902,2000
0.666666667,0,5857,2000
1,0.1,4838,2000
0.6,0.142857143,5251,2000
1,0.166666667,5866,2000
0.666666667,0.25,5882,2000
0.25,0.285714286,5133,2000
0,0,5852,2000
0.333333333,0.095238095,4976,2000
0,0.166666667,5575,2000
0.75,0.1,7166,2000
0,0.066666667,6510,2000
0.5,0.066666667,6348,2000
1,0.153846154,4904,2000
0.5,0,5879,2000
0.5,0.076923077,5355,2000
1,0.086956522,7247,2000
0,0.0625,4905,2000
1,0.111111111,5012,2000
0.1,0.368421053,5239,2001
0.066666667,0.125,5764,2001
0.6,0,5807,2001
0.5,0.333333333,5102,2001
0.666666667,0.111111111,5152,2001
0.333333333,0,5186,2001
0.5,0,5050,2001
0.666666667,0,7166,2001
1,0.5,5503,2001
0.5,0,5151,2001
1,0,5751,2001
0,0,7609,2001
1,0.166666667,5268,2001
1,0.538461538,5147,2001
1,0,5626,2001
0,0,5515,2001
1,0,5226,2001
0.5,0,5141,2001
1,0,5128,2001
1,0,5158,2001
1,0.090909091,5254,2001
0,0.285714286,5157,2001
1,0.1,5165,2001
1,0.85,5143,2001
0.5,0.052631579,5148,2001
0.333333333,0,5183,2001
1,0.133333333,5154,2001
1,0.166666667,5616,2001
0.272727273,0,5750,2002
